Name,House,Points,,
Rae Cockings,Yellow,15,Academic Achievement,R.Cockings@pemberlyhs.com.au
Rem Facher,Blue,20,Academic Achievement,R.Facher@pemberlyhs.com.au
Robina Jeffress,Yellow,10,Academic Achievement,R.Jeffress@pemberlyhs.com.au
Rodolfo Copperwaite,Yellow,10,Academic Achievement,R.Copperwaite@pemberlyhs.com.au
Rodolfo Copperwaite,Yellow,5,Academic Achievement,R.Copperwaite@pemberlyhs.com.au
Roslyn Earry,Yellow,5,Academic Achievement,R.Earry@pemberlyhs.com.au
Sharl Schooley,Blue,25,Academic Achievement,S.Schooley@pemberlyhs.com.au
Sharl Schooley,Blue,25,Academic Achievement,S.Schooley@pemberlyhs.com.au
Sharl Schooley,Blue,25,Academic Achievement,S.Schooley@pemberlyhs.com.au
Sheelah Evamy,Red,15,Academic Achievement,S.Evamy@pemberlyhs.com.au
Si Poundsford,Blue,10,Academic Achievement,S.Poundsford@pemberlyhs.com.au
Spenser Witten,Red,10,Academic Achievement,S.Witten@pemberlyhs.com.au
Stacy Carthew,Green,25,Academic Achievement,S.Carthew@pemberlyhs.com.au
Stacy Carthew,Green,25,Academic Achievement,S.Carthew@pemberlyhs.com.au
Stephie Knevett,Red,10,Academic Achievement,S.Knevett@pemberlyhs.com.au
Torin Cartmale,Blue,25,Academic Achievement,T.Cartmale@pemberlyhs.com.au
Torin Cartmale,Blue,5,Academic Achievement,T.Cartmale@pemberlyhs.com.au
Vassily Teeney,Red,5,Academic Achievement,V.Teeney@pemberlyhs.com.au
Verne While,Green,5,Academic Achievement,V.While@pemberlyhs.com.au
William Cana,Green,0,Academic Achievement,W.Cana@pemberlyhs.com.au
William Cana,Green,5,Academic Achievement,W.Cana@pemberlyhs.com.au
Wilow Readman,Red,15,Academic Achievement,W.Readman@pemberlyhs.com.au
Adrianna Guille,Blue,10,Artistic Endeavour,A.Guille@pemberlyhs.com.au
Angelita Gounel,Yellow,20,Artistic Endeavour,A.Gounel@pemberlyhs.com.au
Ansel Plows,Yellow,20,Artistic Endeavour,A.Plows@pemberlyhs.com.au
Ansel Plows,Yellow,25,Artistic Endeavour,A.Plows@pemberlyhs.com.au
Barbra Widger,Blue,5,Artistic Endeavour,B.Widger@pemberlyhs.com.au
Batsheva Waggett,Green,20,Artistic Endeavour,B.Waggett@pemberlyhs.com.au
Bendicty Gittins,Green,15,Artistic Endeavour,B.Gittins@pemberlyhs.com.au
Bennie Valente,Blue,5,Artistic Endeavour,B.Valente@pemberlyhs.com.au
Carmen Neeson,Yellow,20,Artistic Endeavour,C.Neeson@pemberlyhs.com.au
Celie Saines,Red,5,Artistic Endeavour,C.Saines@pemberlyhs.com.au
Celie Saines,Red,5,Artistic Endeavour,C.Saines@pemberlyhs.com.au
Charlena Kingman,Yellow,25,Artistic Endeavour,C.Kingman@pemberlyhs.com.au
Chelsea Lapre,Green,10,Artistic Endeavour,C.Lapre@pemberlyhs.com.au
Clarance Courcey,Green,20,Artistic Endeavour,C.Courcey@pemberlyhs.com.au
Clifford Bann,Yellow,5,Artistic Endeavour,C.Bann@pemberlyhs.com.au
Corbett Winfindine,Blue,15,Artistic Excellence,C.Winfindine@pemberlyhs.com.au
Corri Pitrelli,Green,10,Artistic Endeavour,C.Pitrelli@pemberlyhs.com.au
Corri Pitrelli,Green,10,Artistic Endeavour,C.Pitrelli@pemberlyhs.com.au
Donica Pinyon,Green,20,Artistic Endeavour,D.Pinyon@pemberlyhs.com.au
Donica Pinyon,Green,15,Artistic Endeavour,D.Pinyon@pemberlyhs.com.au
Donica Pinyon,Green,20,Artistic Endeavour,D.Pinyon@pemberlyhs.com.au
Emelen Mathivet,Green,5,Artistic Endeavour,E.Mathivet@pemberlyhs.com.au
Euell Worsham,Red,10,Artistic Endeavour,E.Worsham@pemberlyhs.com.au
Euell Worsham,Red,10,Artistic Endeavour,E.Worsham@pemberlyhs.com.au
Fidelia Sappy,Yellow,15,Artistic Endeavour,F.Sappy@pemberlyhs.com.au
Francis Henningham,Blue,15,Artistic Endeavour,F.Henningham@pemberlyhs.com.au
Garland Wisdom,Yellow,5,Artistic Endeavour,G.Wisdom@pemberlyhs.com.au
Gideon Winspeare,Blue,15,Artistic Endeavour,G.Winspeare@pemberlyhs.com.au
Gillie Cookson,Blue,15,Artistic Endeavour,G.Cookson@pemberlyhs.com.au
Gillie Cookson,Blue,5,Artistic Endeavour,G.Cookson@pemberlyhs.com.au
Giorgia MacGillespie,Blue,15,Artistic Endeavour,G.MacGillespie@pemberlyhs.com.au
Giustina Meaker,Red,10,Artistic Endeavour,G.Meaker@pemberlyhs.com.au
Glennie Appleby,Red,20,Artistic Endeavour,G.Appleby@pemberlyhs.com.au
Goddard Derell,Blue,5,Artistic Endeavour,G.Derell@pemberlyhs.com.au
Greta Ducaen,Red,25,Artistic Endeavour,G.Ducaen@pemberlyhs.com.au
Greta Ducaen,Red,5,Artistic Endeavour,G.Ducaen@pemberlyhs.com.au
Greta Ducaen,Red,25,Artistic Endeavour,G.Ducaen@pemberlyhs.com.au
Ivett Brabham,Red,15,Artistic Endeavour,I.Brabham@pemberlyhs.com.au
Jackquelin Costall,Red,5,Artistic Endeavour,J.Costall@pemberlyhs.com.au
Jackquelin Costall,Red,5,Artistic Endeavour,J.Costall@pemberlyhs.com.au
Jacquelyn McRuvie,Blue,10,Artistic Endeavour,J.McRuvie@pemberlyhs.com.au
Jacquelyn McRuvie,Blue,25,Artistic Endeavour,J.McRuvie@pemberlyhs.com.au
Jacquelyn McRuvie,Blue,10,Artistic Endeavour,J.McRuvie@pemberlyhs.com.au
Julietta Pay,Blue,25,Artistic Endeavour,J.Pay@pemberlyhs.com.au
Julietta Pay,Blue,25,Artistic Endeavour,J.Pay@pemberlyhs.com.au
Kamilah Ratledge,Yellow,15,Artistic Endeavour,K.Ratledge@pemberlyhs.com.au
Kandace Claxson,Blue,25,Artistic Endeavour,K.Claxson@pemberlyhs.com.au
Ketty O'Keevan,Green,10,Artistic Endeavour,K.O'Keevan@pemberlyhs.com.au
Ketty O'Keevan,Green,15,Artistic Endeavour,K.O'Keevan@pemberlyhs.com.au
Lilia Willcox,,5,Artistic Endeavour,L.Willcox@pemberlyhs.com.au
Lillis Whitely,Green,15,Artistic Endeavour,L.Whitely@pemberlyhs.com.au
Lorelle McCullogh,Red,20,Artistic Endeavour,L.McCullogh@pemberlyhs.com.au
Mahmoud Dawdary,Green,25,Artistic Endeavour,M.Dawdary@pemberlyhs.com.au
Melodee Walisiak,Red,5,Artistic Endeavour,M.Walisiak@pemberlyhs.com.au
Mercie Liverock,Green,11,Artistic Endeavour,M.Liverock@pemberlyhs.com.au
Myrna Vellacott,Red,20,Artistic Endeavour,M.Vellacott@pemberlyhs.com.au
Neal Lockwood,Yellow,20,Artistic Endeavour,N.Lockwood@pemberlyhs.com.au
Neal Lockwood,Yellow,5,Artistic Endeavour,N.Lockwood@pemberlyhs.com.au
Neils Duggen,Yellow,15,Artistic Endeavour,N.Duggen@pemberlyhs.com.au
Neils Duggen,Yellow,20,Artistic Endeavour,N.Duggen@pemberlyhs.com.au
Neils Duggen,Yellow,26,Artistic Endeavour,N.Duggen@pemberlyhs.com.au
Niko Thomazet,Red,10,Artistic Endeavour,N.Thomazet@pemberlyhs.com.au
Niko Thomazet,Red,20,Artistic Endeavour,N.Thomazet@pemberlyhs.com.au
Oralie Rosettini,Yellow,5,Artistic Endeavour,O.Rosettini@pemberlyhs.com.au
Oralie Rosettini,Yellow,5,Artistic Endeavour,O.Rosettini@pemberlyhs.com.au
Orville Beautyman,Green,25,Artistic Endeavour,O.Beautyman@pemberlyhs.com.au
Palmer Abdie,Green,20,Artistic Endeavour,P.Abdie@pemberlyhs.com.au
Paulie Whiteland,Green,20,Artistic Endeavour,N.Duggen@pemberlyhs.com.au
Puff Grzeszczak,Red,20,Artistic Endeavour,P.Grzeszczak@pemberlyhs.com.au
Rheta Nabbs,Blue,10,Artistic Endeavour,R.Nabbs@pemberlyhs.com.au
Rheta Nabbs,Blue,15,Artistic Endeavour,R.Nabbs@pemberlyhs.com.au
Robinson Rzehor,Green,25,Artistic Endeavour,R.Rzehor@pemberlyhs.com.au
Robinson Rzehor,Green,10,Artistic Endeavour,R.Rzehor@pemberlyhs.com.au
Robinson Rzehor,Green,25,Artistic Endeavour,R.Rzehor@pemberlyhs.com.au
Sheelah Evamy,Red,5,Artistic Endeavour,S.Evamy@pemberlyhs.com.au
Shelagh Ruberti,Blue,5,Artistic Endeavour,S.Ruberti@pemberlyhs.com.au
Shelagh Ruberti,Blue,20,Artistic Endeavour,S.Ruberti@pemberlyhs.com.au
Sherri Yushkin,Red,20,Artistic Endeavour,S.Yushkin@pemberlyhs.com.au
Si Poundsford,Blue,5,Artistic Endeavour,S.Poundsford@pemberlyhs.com.au
Spenser Witten,Red,10,Artistic Endeavour,S.Witten@pemberlyhs.com.au
Stacy Carthew,Green,25,Artistic Endeavour,S.Carthew@pemberlyhs.com.au
Stephie Knevett,Red,15,Artistic Endeavour,S.Knevett@pemberlyhs.com.au
Stephie Knevett,Red,15,Artistic Endeavour,S.Knevett@pemberlyhs.com.au
Torin Cartmale,Blue,15,Artistic Endeavour,T.Cartmale@pemberlyhs.com.au
Vassily Teeney,Red,25,Artistic Endeavour,V.Teeney@pemberlyhs.com.au
Vassily Teeney,Red,25,Artistic Endeavour,V.Teeney@pemberlyhs.com.au
Vassily Teeney,Red,25,Artistic Endeavour,V.Teeney@pemberlyhs.com.au
Verne While,Green,10,Artistic Endeavour,V.While@pemberlyhs.com.au
Veronique Polin,Yellow,20,Artistic Endeavour,V.Polin@pemberlyhs.com.au
Waverley Wartonby,Blue,10,Artistic Endeavour,W.Wartonby@pemberlyhs.com.au
Waverley Wartonby,Blue,5,Artistic Endeavour,W.Wartonby@pemberlyhs.com.au
Waverley Wartonby,Blue,15,Artistic Endeavour,W.Wartonby@pemberlyhs.com.au
William Cana,Green,15,Artistic Endeavour,W.Cana@pemberlyhs.com.au
William Cana,Green,5,Artistic Endeavour,W.Cana@pemberlyhs.com.au
William Cana,Green,5,Artistic Endeavour,W.Cana@pemberlyhs.com.au
Wilow Readman,Red,20,Artistic Endeavour,W.Readman@pemberlyhs.com.au
Wilow Readman,Red,20,Artistic Endeavour,W.Readman@pemberlyhs.com.au
Alasteir Rickard,Yellow,10,Athletic Excellence,A.Rickard@pemberlyhs.com.au
Alasteir Rickard,Yellow,15,Athletic Excellence,A.Rickard@pemberlyhs.com.au
Alasteir Rickard,,5,Athletic Excellence,A.Rickard@pemberlyhs.com.au
Ansel Plows,Yellow,15,Athletic Excellence,A.Plows@pemberlyhs.com.au
Ansel Plows,Yellow,20,Athletic Excellence,A.Plows@pemberlyhs.com.au
Arabela Brockley,Red,20,Athletic Excellence,A.Brockley@pemberlyhs.com.au
Arden Gossop,Blue,10,Athletic Excellence,A.Gossop@pemberlyhs.com.au
Arden Gossop,Blue,5,Athletic Excellence,A.Gossop@pemberlyhs.com.au
Ashleigh Northcote,Green,25,Athletic Excellence,A.Northcote@pemberlyhs.com.au
Ashleigh Northcote,Green,25,Athletic Excellence,A.Northcote@pemberlyhs.com.au
Batsheva Waggett,Green,20,Athletic Excellence,B.Waggett@pemberlyhs.com.au
Bendicty Gittins,,5,Athletic Excellence,B.Gittins@pemberlyhs.com.au
Bennie Valente,,25,Athletic Excellence,B.Valente@pemberlyhs.com.au
Carmen Neeson,Yellow,20,Athletic Excellence,C.Neeson@pemberlyhs.com.au
Carmen Neeson,Yellow,20,Athletic Excellence,C.Neeson@pemberlyhs.com.au
Celie Saines,Red,5,,
Celie Saines,Red,5,Athletic Excellence,C.Saines@pemberlyhs.com.au
Chelsea Lapre,Green,15,Athletic Excellence,C.Lapre@pemberlyhs.com.au
Clifford Bann,Yellow,15,Athletic Excellence,C.Bann@pemberlyhs.com.au
Corbett Winfindine,Blue,25,Athletic Excellence,C.Winfindine@pemberlyhs.com.au
Corri Pitrelli,Green,20,Athletic Excellence,C.Pitrelli@pemberlyhs.com.au
Cynthy Lilly,Green,15,Athletic Excellence,C.Lilly@pemberlyhs.com.au
Dionysus Sherebrook,Red,5,Athletic Excellence,D.Sherebrook@pemberlyhs.com.au
Dionysus Sherebrook,Red,5,Athletic Excellence,D.Sherebrook@pemberlyhs.com.au
Donia McGloin,Green,15,Athletic Excellence,D.McGloin@pemberlyhs.com.au
Donia McGloin,Green,10,Athletic Excellence,D.McGloin@pemberlyhs.com.au
Donica Pinyon,Green,25,Athletic Excellence,D.Pinyon@pemberlyhs.com.au
Elliott Falks,Red,10,Athletic Excellence,E.Falks@pemberlyhs.com.au
Elliott Falks,Red,5,Athletic Excellence,E.Falks@pemberlyhs.com.au
Emelen Mathivet,Green,20,Athletic Excellence,E.Mathivet@pemberlyhs.com.au
Francis Henningham,Blue,10,Athletic Excellence,F.Henningham@pemberlyhs.com.au
Giorgia MacGillespie,Blue,25,Athletic Excellence,G.MacGillespie@pemberlyhs.com.au
Giustina Meaker,Red,15,Athletic Excellence,G.Meaker@pemberlyhs.com.au
Glennie Appleby,Red,25,Athletic Excellence,G.Appleby@pemberlyhs.com.au
Ivett Brabham,Red,25,Athletic Excellence,I.Brabham@pemberlyhs.com.au
Ivett Brabham,Red,15,Athletic Excellence,I.Brabham@pemberlyhs.com.au
Jilli Hansie,Red,20,Athletic Excellence,J.Hansie@pemberlyhs.com.au
Julietta Pay,Blue,15,Athletic Excellence,J.Pay@pemberlyhs.com.au
,,,,
Kamilah Ratledge,Yellow,15,Athletic Excellence,K.Ratledge@pemberlyhs.com.au
Lilia Willcox,Blue,10,Athletic Excellence,L.Willcox@pemberlyhs.com.au
Lillis Whitely,Green,10,Athletic Excellence,L.Whitely@pemberlyhs.com.au
Linus Robarts,Green,15,Athletic Excellence,L.Robarts@pemberlyhs.com.au
Lorain Merchant,Yellow,20,Athletic Excellence,L.Merchant@pemberlyhs.com.au
Lorelle McCullogh,Red,10,Athletic Excellence,L.McCullogh@pemberlyhs.com.au
Mahmoud Dawdary,Green,5,Athletic Excellence,M.Dawdary@pemberlyhs.com.au
Mahmoud Dawdary,Green,10,Athletic Excellence,M.Dawdary@pemberlyhs.com.au
Mahmoud Dawdary,Green,20,Athletic Excellence,M.Dawdary@pemberlyhs.com.au
Mahmoud Dawdary,Green,10,Athletic Excellence,M.Dawdary@pemberlyhs.com.au
Mamie Parram,Blue,20,Athletic Excellence,M.Parram@pemberlyhs.com.au
Matthias Demschke,Red,20,Athletic Excellence,M.Demschke@pemberlyhs.com.au
Melodee Walisiak,Red,15,Athletic Excellence,M.Walisiak@pemberlyhs.com.au
Melodee Walisiak,Red,5,Athletic Excellence,M.Walisiak@pemberlyhs.com.au
Mercie Liverock,Green,10,Athletic Excellence,M.Liverock@pemberlyhs.com.au
Merrili Keemar,Blue,15,Athletic Excellence,M.Keemar@pemberlyhs.com.au
Merrili Keemar,Blue,20,Athletic Excellence,M.Keemar@pemberlyhs.com.au
Merrili Keemar,Blue,20,Athletic Excellence,M.Keemar@pemberlyhs.com.au
Mord Cannon,Blue,15,Athletic Excellence,M.Cannon@pemberlyhs.com.au
Mord Cannon,Blue,15,Athletic Excellence,M.Cannon@pemberlyhs.com.au
Myrna Vellacott,Red,5,Athletic Excellence,M.Vellacott@pemberlyhs.com.au
Neal Lockwood,Yellow,20,Athletic Excellence,N.Lockwood@pemberlyhs.com.au
Niko Thomazet,Red,15,Athletic Endeavour,N.Thomazet@pemberlyhs.com.au
Ollie Duinbleton,Red,10,Athletic Excellence,O.Duinbleton@pemberlyhs.com.au
Oralie Rosettini,Yellow,15,Athletic Excellence,O.Rosettini@pemberlyhs.com.au
Oralie Rosettini,Yellow,15,Athletic Excellence,O.Rosettini@pemberlyhs.com.au
Orville Beautyman,Green,5,Athletic Excellence,O.Beautyman@pemberlyhs.com.au
Palmer Abdie,Green,10,Athletic Excellence,P.Abdie@pemberlyhs.com.au
Palmer Abdie,gren,10,Athletic Excellence,P.Abdie@pemberlyhs.com.au
Paulie Whiteland,gren,5,Athletic Excellence,P.Whiteland@pemberlyhs.com.au
Philis Carville,Red,25,Athletic Excellence,P.Carville@pemberlyhs.com.au
Puff Grzeszczak,Red,15,Athletic Excellence,P.Grzeszczak@pemberlyhs.com.au
Puff Grzeszczak,Red,10,Athletic Excellence,P.Grzeszczak@pemberlyhs.com.au
Rae Cockings,Yellow,15,Athletic Excellence,R.Cockings@pemberlyhs.com.au
Rae Cockings,Yellow,10,Athletic Excellence,R.Cockings@pemberlyhs.com.au
Rem Facher,Blue,10,xx,R.Facher@pemberlyhs.com.au
Rheta Nabbs,Blue,20,Athletic Excellence,R.Nabbs@pemberlyhs.com.au
Robina Jeffress,Yellow,5,Athletic Excellence,R.Jeffress@pemberlyhs.com.au
Roderich Stonehouse,Green,10,Athletic Excellence,R.Stonehouse@pemberlyhs.com.au
Roderich Stonehouse,Green,5,Athletic Excellence,R.Stonehouse@pemberlyhs.com.au
Rodolfo Copperwaite,Yellow,25,Athletic Excellence,R.Copperwaite@pemberlyhs.com.au
Roslyn Earry,Yellow,5,Athletic Excellence,R.Earry@pemberlyhs.com.au
Roslyn Earry,Yellow,5,Athletic Excellence,R.Earry@pemberlyhs.com.au
Roxie Cammacke,Green,5,Athletic Excellence,R.Cammacke@pemberlyhs.com.au
Roxie Cammacke,Green,15,Athletic Excellence,R.Cammacke@pemberlyhs.com.au
Sheelah Evamy,Red,5,Athletic Excellence,S.Evamy@pemberlyhs.com.au
Shelagh Ruberti,Blue,5,Athletic Excellence,S.Ruberti@pemberlyhs.com.au
Shelagh Ruberti,Blue,20,Athletic Excellence,S.Ruberti@pemberlyhs.com.au
Si Poundsford,Blue,15,Athletic Excellence,S.Poundsford@pemberlyhs.com.au
Spenser Witten,Red,5,Athletic Excellence,S.Witten@pemberlyhs.com.au
Stacy Carthew,Green,25,Athletic Excellence,S.Carthew@pemberlyhs.com.au
Stacy Carthew,Green,5,Athletic Excellence,S.Carthew@pemberlyhs.com.au
Standford Solly,Yellow,5,Athletic Excellence,S.Solly@pemberlyhs.com.au
Veronique Polin,Yellow,10,Athletic Excellence,V.Polin@pemberlyhs.com.au
Waverley Wartonby,Blue,10,Athletic Excellence,W.Wartonby@pemberlyhs.com.au
Wilow Readman,Red,25,Athletic Excellence,W.Readman@pemberlyhs.com.au
 Sainsberry,Blue,20,Athletic Excellence,.Sainsberry@pemberlyhs.com.au
Adrianna Guille,Blue,15,Community Values,A.Guille@pemberlyhs.com.au
Angelita Gounel,Yellow,25,Community Values,A.Gounel@pemberlyhs.com.au
Arabela Brockley,BLUE,20,Community Values,A.Brockley@pemberlyhs.com.au
Batsheva Waggett,GREEN,25,Community Values,B.Waggett@pemberlyhs.com.au
Batsheva Waggett,Green,25,Community Values,B.Waggett@pemberlyhs.com.au
Bendicty Gittins,Green,5,Community Values,B.Gittins@pemberlyhs.com.au
Bennie Valente,Blue,20,Community Values,B.Valente@pemberlyhs.com.au
Buddie Grewer,Blue,25,Community Values,B.Grewer@pemberlyhs.com.au
Buddie Grewer,Blue,10,Community Values,B.Grewer@pemberlyhs.com.au
Buddie Grewer,Blue,25,Community Values,B.Grewer@pemberlyhs.com.au
Charlena Kingman,,25,Community Values,C.Kingman@pemberlyhs.com.au
Chelsea Lapre,Green,10,Community Values,C.Lapre@pemberlyhs.com.au
,Green,20,Community Values,C.Courcey@pemberlyhs.com.au
Clarance Courcey,Green,20,Community Values,C.Courcey@pemberlyhs.com.au
Clifford Bann,Yellow,15,Community Values,C.Bann@pemberlyhs.com.au
Corabelle Codrington,Red,5,Community Values,C.Codrington@pemberlyhs.com.au
Corri Pitrelli,Green,25,Community Values,C.Pitrelli@pemberlyhs.com.au
Crystie Clarson,Blue,15,Community Values,C.Clarson@pemberlyhs.com.au
Dionysus Sherebrook,Red,45,Community Values,D.Sherebrook@pemberlyhs.com.au
Dionysus Sherebrook,Red,15,Community Values,D.Sherebrook@pemberlyhs.com.au
Dyana Sainsberry,Blue,20,Community Values,D.Sainsberry@pemberlyhs.com.au
Elliott Falks,Red,20,Community Values,E.Falks@pemberlyhs.com.au
Emelen Mathivet,Green,25,Community Values,E.Mathivet@pemberlyhs.com.au
Euell Worsham,Red,10,Community Values,E.Worsham@pemberlyhs.com.au
Francis Henningham,Blue,10,Community Values,F.Henningham@pemberlyhs.com.au
Garland Wisdom,Yellow,25,Community Values,G.Wisdom@pemberlyhs.com.au
Giorgia MacGillespie,Blue,5,Community Values,G.MacGillespie@pemberlyhs.com.au
Giorgia MacGillespie,Blue,20,Community Values,G.MacGillespie@pemberlyhs.com.au
Glennie Appleby,Red,15,Community Values,G.Appleby@pemberlyhs.com.au
Glennie Appleby,Red,5,Community Values,G.Appleby@pemberlyhs.com.au
Greta Ducaen,Red,25,Community Values,G.Ducaen@pemberlyhs.com.au
Ivett Brabham,Red,15,Community Values,I.Brabham@pemberlyhs.com.au
Kamilah Ratledge,Yellow,5,Community Values,K.Ratledge@pemberlyhs.com.au
Kandace Claxson,Blue,5,Community Values,K.Claxson@pemberlyhs.com.au
Kandace Claxson,Blue,15,Community Values,K.Claxson@pemberlyhs.com.au
Klement Denziloe,Red,10,Community Values,K.Denziloe@pemberlyhs.com.au
Klement Denziloe,Red,5,Community Values,K.Denziloe@pemberlyhs.com.au
Klement Denziloe,Red,10,Community Values,K.Denziloe@pemberlyhs.com.au
Lillis Whitely,Green,5,Community Values,L.Whitely@pemberlyhs.com.au
Lorain Merchant,Yellow,15,Community Values,L.Merchant@pemberlyhs.com.au
Lorelle McCullogh,Red,10,Community Values,L.McCullogh@pemberlyhs.com.au
Lorelle McCullogh,Red,5,Community Values,L.McCullogh@pemberlyhs.com.au
Lou Povall,Green,20,Community Values,L.Povall@pemberlyhs.com.au
